#Normalization-constant  6.46299e+02
#lambda         flux
1.0836882e+00  1.03229e+00
1.0837038e+00  9.92888e-01
1.0837193e+00  1.06414e+00
1.0837350e+00  1.10485e+00
1.0837505e+00  1.05981e+00
1.0837661e+00  1.07842e+00
1.0837816e+00  1.08262e+00
1.0837972e+00  1.07036e+00
1.0838127e+00  1.02779e+00
1.0838283e+00  1.07234e+00
1.0838439e+00  1.03718e+00
1.0838594e+00  1.05672e+00
1.0838750e+00  1.01073e+00
1.0838905e+00  1.03642e+00
1.0839061e+00  1.05372e+00
1.0839216e+00  1.03282e+00
1.0839373e+00  1.07018e+00
1.0839528e+00  1.03887e+00
1.0839684e+00  1.05022e+00
1.0839839e+00  1.07836e+00
1.0839995e+00  1.05158e+00
1.0840150e+00  1.03249e+00
1.0840306e+00  1.02833e+00
1.0840461e+00  1.07377e+00
1.0840617e+00  1.08259e+00
1.0840772e+00  1.05051e+00
1.0840928e+00  1.05961e+00
1.0841083e+00  1.10839e+00
1.0841239e+00  1.08262e+00
1.0841396e+00  1.04203e+00
1.0841551e+00  1.04840e+00
1.0841707e+00  1.05806e+00
1.0841862e+00  1.04890e+00
1.0842018e+00  1.05288e+00
1.0842173e+00  1.06105e+00
1.0842329e+00  1.07405e+00
1.0842484e+00  1.05549e+00
1.0842640e+00  1.06432e+00
1.0842795e+00  1.09343e+00
1.0842951e+00  1.04005e+00
1.0843106e+00  1.04269e+00
1.0843263e+00  1.05424e+00
1.0843418e+00  1.05890e+00
1.0843574e+00  1.04994e+00
1.0843729e+00  1.00867e+00
1.0843886e+00  1.02031e+00
1.0844041e+00  1.03601e+00
1.0844197e+00  1.01294e+00
1.0844353e+00  1.04643e+00
1.0844508e+00  1.03997e+00
1.0844664e+00  1.00875e+00
1.0844819e+00  1.00545e+00
1.0844975e+00  1.02378e+00
1.0845130e+00  1.02048e+00
1.0845286e+00  1.04135e+00
1.0845441e+00  1.04631e+00
1.0845597e+00  1.06859e+00
1.0845752e+00  1.05587e+00
1.0845909e+00  1.04651e+00
1.0846064e+00  1.04104e+00
1.0846220e+00  1.04772e+00
1.0846375e+00  1.02316e+00
1.0846531e+00  1.00447e+00
1.0846686e+00  1.05210e+00
1.0846842e+00  1.01601e+00
1.0846997e+00  1.05572e+00
1.0847153e+00  1.06376e+00
1.0847309e+00  1.04947e+00
1.0847464e+00  1.04216e+00
1.0847620e+00  1.03090e+00
1.0847775e+00  1.01831e+00
1.0847932e+00  1.00754e+00
1.0848087e+00  1.00475e+00
1.0848243e+00  1.01384e+00
1.0848398e+00  1.02347e+00
1.0848554e+00  9.80362e-01
1.0848709e+00  9.94476e-01
1.0848865e+00  1.00663e+00
1.0849020e+00  1.00395e+00
1.0849176e+00  1.00835e+00
1.0849331e+00  1.00414e+00
1.0849487e+00  1.01384e+00
1.0849642e+00  1.00991e+00
1.0849798e+00  9.95552e-01
1.0849953e+00  1.00961e+00
1.0850110e+00  1.02552e+00
1.0850266e+00  1.02092e+00
1.0850421e+00  1.02638e+00
1.0850577e+00  1.04410e+00
1.0850732e+00  1.05951e+00
1.0850888e+00  1.05193e+00
1.0851043e+00  1.00664e+00
1.0851199e+00  1.02134e+00
1.0851354e+00  1.01137e+00
1.0851510e+00  1.02794e+00
1.0851665e+00  1.05551e+00
1.0851821e+00  1.06900e+00
1.0851976e+00  1.03820e+00
1.0852133e+00  1.06314e+00
1.0852287e+00  1.04713e+00
1.0852444e+00  1.02429e+00
1.0852599e+00  1.03146e+00
1.0852755e+00  1.02256e+00
1.0852910e+00  1.00818e+00
1.0853066e+00  1.04759e+00
1.0853222e+00  1.07461e+00
1.0853377e+00  1.07046e+00
1.0853533e+00  1.02707e+00
1.0853688e+00  1.06315e+00
1.0853844e+00  1.06289e+00
1.0853999e+00  1.04876e+00
1.0854156e+00  1.05062e+00
1.0854310e+00  1.02303e+00
1.0854467e+00  1.01883e+00
1.0854622e+00  1.05970e+00
1.0854778e+00  1.06575e+00
1.0854933e+00  1.03141e+00
1.0855089e+00  1.04987e+00
1.0855244e+00  1.06731e+00
1.0855400e+00  1.05526e+00
1.0855555e+00  1.04260e+00
1.0855711e+00  1.03749e+00
1.0855866e+00  1.03390e+00
1.0856022e+00  1.04188e+00
1.0856178e+00  1.05896e+00
1.0856333e+00  1.05147e+00
1.0856490e+00  1.03562e+00
1.0856645e+00  1.01977e+00
1.0856801e+00  1.05342e+00
1.0856956e+00  1.02864e+00
1.0857112e+00  1.02920e+00
1.0857267e+00  1.04933e+00
1.0857423e+00  1.03278e+00
1.0857578e+00  1.02591e+00
1.0857734e+00  1.03117e+00
1.0857889e+00  1.02603e+00
1.0858045e+00  1.03738e+00
1.0858200e+00  1.03842e+00
1.0858356e+00  1.02439e+00
1.0858511e+00  1.01801e+00
1.0858668e+00  1.03675e+00
1.0858824e+00  1.02836e+00
1.0858979e+00  1.03199e+00
1.0859135e+00  1.00614e+00
1.0859290e+00  1.03499e+00
1.0859446e+00  1.08352e+00
1.0859601e+00  1.05109e+00
1.0859757e+00  1.02797e+00
1.0859912e+00  1.02342e+00
1.0860068e+00  1.01896e+00
1.0860223e+00  1.05157e+00
1.0860379e+00  1.07304e+00
1.0860534e+00  1.07486e+00
1.0860691e+00  1.05934e+00
1.0860846e+00  1.06428e+00
1.0861002e+00  1.03811e+00
1.0861157e+00  1.02877e+00
1.0861313e+00  1.04426e+00
1.0861468e+00  1.05711e+00
1.0861624e+00  1.05131e+00
1.0861780e+00  1.02320e+00
1.0861935e+00  1.04364e+00
1.0862091e+00  1.07118e+00
1.0862246e+00  1.03308e+00
1.0862402e+00  1.01280e+00
1.0862557e+00  1.03616e+00
1.0862714e+00  1.04799e+00
1.0862870e+00  1.04424e+00
1.0863026e+00  1.02592e+00
1.0863181e+00  1.02427e+00
1.0863337e+00  1.05242e+00
1.0863492e+00  1.01092e+00
1.0863648e+00  1.02658e+00
1.0863803e+00  1.02061e+00
1.0863959e+00  9.96386e-01
1.0864114e+00  1.01020e+00
1.0864270e+00  1.01250e+00
1.0864425e+00  1.01803e+00
1.0864581e+00  1.01554e+00
1.0864738e+00  1.00019e+00
1.0864892e+00  1.02148e+00
1.0865049e+00  1.03094e+00
1.0865204e+00  9.73357e-01
1.0865360e+00  1.00170e+00
1.0865515e+00  1.04572e+00
1.0865671e+00  9.96929e-01
1.0865826e+00  1.02428e+00
1.0865982e+00  1.02499e+00
1.0866137e+00  1.01882e+00
1.0866293e+00  1.03408e+00
1.0866448e+00  9.90572e-01
1.0866604e+00  1.03804e+00
1.0866759e+00  9.95145e-01
1.0866915e+00  9.82221e-01
1.0867070e+00  1.02184e+00
1.0867227e+00  1.00248e+00
1.0867382e+00  1.00389e+00
1.0867538e+00  1.02698e+00
1.0867694e+00  1.02056e+00
1.0867849e+00  9.98473e-01
1.0868005e+00  1.00775e+00
1.0868160e+00  9.86086e-01
1.0868316e+00  9.87357e-01
1.0868471e+00  1.00680e+00
1.0868627e+00  9.96477e-01
1.0868782e+00  1.00414e+00
1.0868938e+00  1.00365e+00
1.0869093e+00  9.75826e-01
1.0869250e+00  9.88524e-01
1.0869405e+00  9.64788e-01
1.0869561e+00  9.41188e-01
1.0869716e+00  9.66157e-01
1.0869872e+00  9.88166e-01
1.0870027e+00  9.15793e-01
1.0870183e+00  9.46433e-01
1.0870338e+00  9.28498e-01
1.0870494e+00  9.40265e-01
1.0870650e+00  9.61028e-01
1.0870805e+00  9.45392e-01
1.0870961e+00  9.65001e-01
1.0871116e+00  9.41883e-01
