#Normalization-constant  3.85227e+03
#lambda         flux
1.0834233e+00  9.57951e-01
1.0834388e+00  9.55986e-01
1.0834544e+00  9.57281e-01
1.0834700e+00  9.51952e-01
1.0834855e+00  9.58181e-01
1.0835011e+00  9.39339e-01
1.0835167e+00  9.30033e-01
1.0835322e+00  9.37493e-01
1.0835478e+00  9.31468e-01
1.0835633e+00  9.38428e-01
1.0835790e+00  9.46346e-01
1.0835946e+00  9.40788e-01
1.0836101e+00  9.42181e-01
1.0836257e+00  9.45822e-01
1.0836412e+00  9.54112e-01
1.0836568e+00  9.71218e-01
1.0836724e+00  9.83913e-01
1.0836879e+00  9.89200e-01
1.0837035e+00  9.91420e-01
1.0837190e+00  9.89483e-01
1.0837347e+00  9.91820e-01
1.0837503e+00  1.00449e+00
1.0837658e+00  1.00870e+00
1.0837814e+00  1.00138e+00
1.0837970e+00  1.00581e+00
1.0838125e+00  1.01234e+00
1.0838281e+00  1.00879e+00
1.0838436e+00  1.01115e+00
1.0838592e+00  9.98791e-01
1.0838748e+00  1.01138e+00
1.0838903e+00  9.97282e-01
1.0839060e+00  1.00106e+00
1.0839215e+00  9.98353e-01
1.0839371e+00  9.90554e-01
1.0839527e+00  9.88188e-01
1.0839682e+00  1.00285e+00
1.0839838e+00  9.98635e-01
1.0839993e+00  1.00167e+00
1.0840149e+00  1.01210e+00
1.0840305e+00  1.01362e+00
1.0840460e+00  1.02195e+00
1.0840616e+00  1.01622e+00
1.0840773e+00  1.01431e+00
1.0840928e+00  1.00736e+00
1.0841084e+00  1.01403e+00
1.0841239e+00  1.01706e+00
1.0841395e+00  1.01309e+00
1.0841551e+00  1.00333e+00
1.0841706e+00  1.02382e+00
1.0841862e+00  1.01923e+00
1.0842017e+00  1.01458e+00
1.0842173e+00  1.01756e+00
1.0842329e+00  1.00983e+00
1.0842484e+00  1.01066e+00
1.0842641e+00  1.00641e+00
1.0842796e+00  1.01368e+00
1.0842952e+00  1.01539e+00
1.0843108e+00  1.01698e+00
1.0843263e+00  1.02978e+00
1.0843419e+00  1.03036e+00
1.0843575e+00  1.03468e+00
1.0843730e+00  1.01626e+00
1.0843886e+00  1.00074e+00
1.0844041e+00  9.98859e-01
1.0844197e+00  9.99677e-01
1.0844354e+00  9.98528e-01
1.0844509e+00  9.99716e-01
1.0844665e+00  9.99667e-01
1.0844820e+00  9.97428e-01
1.0844976e+00  1.00663e+00
1.0845132e+00  1.00681e+00
1.0845287e+00  9.98100e-01
1.0845443e+00  9.93991e-01
1.0845598e+00  1.01123e+00
1.0845754e+00  9.96746e-01
1.0845910e+00  9.98655e-01
1.0846065e+00  1.00075e+00
1.0846222e+00  9.97165e-01
1.0846378e+00  9.98499e-01
1.0846533e+00  1.00152e+00
1.0846689e+00  1.01437e+00
1.0846844e+00  1.01200e+00
1.0847000e+00  1.01414e+00
1.0847156e+00  1.00185e+00
1.0847311e+00  9.92267e-01
1.0847467e+00  9.99326e-01
1.0847622e+00  9.91411e-01
1.0847779e+00  9.85471e-01
1.0847935e+00  9.87292e-01
1.0848090e+00  9.85179e-01
1.0848246e+00  9.78636e-01
1.0848401e+00  9.93329e-01
1.0848557e+00  9.97525e-01
1.0848713e+00  9.91342e-01
1.0848868e+00  9.86581e-01
1.0849024e+00  9.92102e-01
1.0849179e+00  9.89619e-01
1.0849335e+00  9.80798e-01
1.0849492e+00  9.91654e-01
1.0849647e+00  9.83047e-01
1.0849803e+00  9.91469e-01
1.0849959e+00  9.99268e-01
1.0850114e+00  1.01169e+00
1.0850270e+00  1.01395e+00
1.0850425e+00  1.01547e+00
1.0850581e+00  1.02158e+00
1.0850737e+00  1.01233e+00
1.0850892e+00  1.00825e+00
1.0851048e+00  1.00405e+00
1.0851203e+00  1.00044e+00
1.0851360e+00  1.00980e+00
1.0851516e+00  9.92433e-01
1.0851671e+00  1.00720e+00
1.0851827e+00  1.01545e+00
1.0851982e+00  1.02105e+00
