#Normalization-constant  1.09519e+02
#lambda         flux
1.1154121e+00  1.00207e+00
1.1154281e+00  9.94601e-01
1.1154441e+00  1.02176e+00
1.1154602e+00  1.03524e+00
1.1154761e+00  1.03601e+00
1.1154922e+00  9.90539e-01
1.1155082e+00  9.88476e-01
1.1155243e+00  1.06498e+00
1.1155403e+00  1.00304e+00
1.1155564e+00  1.02315e+00
1.1155724e+00  9.76360e-01
1.1155884e+00  9.83117e-01
1.1156044e+00  9.92140e-01
1.1156206e+00  9.87631e-01
1.1156366e+00  1.03062e+00
1.1156527e+00  1.04761e+00
1.1156687e+00  9.94958e-01
1.1156847e+00  1.04675e+00
1.1157007e+00  9.96617e-01
1.1157167e+00  1.03279e+00
1.1157328e+00  1.03817e+00
1.1157488e+00  1.01111e+00
1.1157649e+00  1.03503e+00
1.1157808e+00  1.01441e+00
1.1157969e+00  9.89538e-01
1.1158129e+00  1.01029e+00
1.1158290e+00  1.05387e+00
1.1158450e+00  1.00248e+00
1.1158611e+00  9.97536e-01
1.1158770e+00  9.91767e-01
1.1158931e+00  1.00479e+00
1.1159091e+00  9.90054e-01
1.1159252e+00  1.00769e+00
1.1159412e+00  1.00477e+00
1.1159571e+00  1.02526e+00
1.1159732e+00  1.01590e+00
1.1159892e+00  9.95310e-01
1.1160053e+00  1.00341e+00
1.1160213e+00  1.03102e+00
1.1160374e+00  1.00714e+00
1.1160533e+00  9.90450e-01
1.1160694e+00  9.75820e-01
1.1160854e+00  9.55296e-01
1.1161015e+00  9.57813e-01
1.1161175e+00  9.76631e-01
1.1161336e+00  9.97126e-01
1.1161495e+00  9.86510e-01
1.1161656e+00  9.79228e-01
1.1161816e+00  9.30925e-01
1.1161977e+00  9.60434e-01
1.1162137e+00  1.00299e+00
1.1162297e+00  9.43344e-01
1.1162457e+00  9.36931e-01
1.1162617e+00  9.69097e-01
1.1162778e+00  9.58441e-01
1.1162938e+00  9.83456e-01
1.1163099e+00  9.59217e-01
1.1163259e+00  9.74968e-01
1.1163419e+00  9.87684e-01
1.1163579e+00  9.73790e-01
1.1163740e+00  9.48460e-01
1.1163900e+00  9.46259e-01
1.1164061e+00  1.00349e+00
1.1164221e+00  9.83494e-01
1.1164381e+00  9.86512e-01
1.1164541e+00  1.00972e+00
1.1164702e+00  1.00188e+00
1.1164862e+00  9.73167e-01
1.1165022e+00  9.82250e-01
1.1165183e+00  9.90538e-01
1.1165342e+00  1.03717e+00
1.1165503e+00  9.90346e-01
1.1165663e+00  1.03152e+00
1.1165824e+00  1.02864e+00
1.1165984e+00  9.95027e-01
1.1166145e+00  1.02964e+00
1.1166304e+00  1.05324e+00
1.1166465e+00  1.01950e+00
1.1166625e+00  1.02154e+00
1.1166786e+00  1.04317e+00
1.1166946e+00  1.08092e+00
1.1167107e+00  1.05332e+00
1.1167266e+00  1.01154e+00
1.1167427e+00  1.00472e+00
1.1167587e+00  1.00354e+00
1.1167747e+00  1.00607e+00
1.1167908e+00  1.00577e+00
1.1168067e+00  9.87004e-01
1.1168228e+00  9.79901e-01
1.1168388e+00  9.62098e-01
1.1168549e+00  9.73951e-01
1.1168709e+00  9.95832e-01
1.1168870e+00  1.01221e+00
1.1169029e+00  1.03870e+00
1.1169190e+00  1.01226e+00
1.1169350e+00  9.66746e-01
1.1169511e+00  1.05820e+00
1.1169671e+00  1.04327e+00
1.1169832e+00  1.06556e+00
1.1169991e+00  1.03655e+00
1.1170151e+00  1.06705e+00
1.1170312e+00  1.01780e+00
1.1170472e+00  9.86096e-01
1.1170633e+00  9.87144e-01
1.1170793e+00  1.02075e+00
1.1170953e+00  9.98115e-01
1.1171113e+00  9.94209e-01
1.1171274e+00  9.84199e-01
1.1171434e+00  1.00562e+00
1.1171595e+00  9.61591e-01
1.1171755e+00  1.00113e+00
1.1171916e+00  1.01218e+00
1.1172075e+00  9.79870e-01
1.1172236e+00  9.85110e-01
1.1172396e+00  9.59929e-01
1.1172557e+00  9.33352e-01
1.1172717e+00  9.25175e-01
1.1172876e+00  9.52945e-01
1.1173037e+00  9.55662e-01
1.1173197e+00  9.65262e-01
1.1173358e+00  9.33581e-01
1.1173518e+00  9.91935e-01
1.1173679e+00  1.02870e+00
1.1173838e+00  9.65187e-01
1.1173999e+00  9.89774e-01
1.1174159e+00  9.92699e-01
1.1174320e+00  9.69724e-01
1.1174480e+00  9.70014e-01
1.1174641e+00  9.51256e-01
1.1174800e+00  9.64151e-01
1.1174961e+00  9.75756e-01
1.1175121e+00  9.32350e-01
1.1175281e+00  9.55897e-01
1.1175442e+00  9.40338e-01
1.1175601e+00  9.54901e-01
1.1175763e+00  9.69946e-01
1.1175923e+00  9.67195e-01
1.1176084e+00  9.70019e-01
1.1176244e+00  9.90090e-01
1.1176405e+00  9.60742e-01
1.1176564e+00  9.58766e-01
1.1176725e+00  9.66193e-01
1.1176885e+00  9.72030e-01
1.1177046e+00  1.01876e+00
1.1177206e+00  1.02989e+00
1.1177367e+00  1.04256e+00
1.1177527e+00  1.02011e+00
1.1177687e+00  1.00133e+00
