#Normalization-constant  6.60334e+02
#lambda         flux
1.0685091e+00  8.68847e-01
1.0685244e+00  8.78723e-01
1.0685397e+00  8.83998e-01
1.0685551e+00  8.35412e-01
1.0685705e+00  8.52887e-01
1.0685859e+00  8.59313e-01
1.0686011e+00  8.85604e-01
1.0686165e+00  8.70292e-01
1.0686319e+00  8.35188e-01
1.0686473e+00  8.47388e-01
1.0686625e+00  8.26165e-01
1.0686780e+00  8.15277e-01
1.0686934e+00  8.46494e-01
1.0687088e+00  8.47647e-01
1.0687240e+00  8.60730e-01
1.0687394e+00  8.56509e-01
1.0687548e+00  8.59477e-01
1.0687702e+00  8.47190e-01
1.0687854e+00  8.48513e-01
1.0688008e+00  8.65806e-01
1.0688162e+00  8.89494e-01
1.0688315e+00  9.01852e-01
1.0688469e+00  8.74844e-01
1.0688622e+00  8.84066e-01
1.0688776e+00  9.36139e-01
1.0688929e+00  9.25224e-01
1.0689083e+00  9.04822e-01
1.0689236e+00  9.09284e-01
1.0689390e+00  8.91657e-01
1.0689543e+00  8.80572e-01
1.0689697e+00  8.99592e-01
1.0689850e+00  9.19708e-01
1.0690003e+00  8.82075e-01
1.0690157e+00  8.68646e-01
1.0690311e+00  8.65614e-01
1.0690464e+00  8.67974e-01
1.0690617e+00  8.67790e-01
1.0690771e+00  8.80055e-01
1.0690925e+00  8.96079e-01
1.0691079e+00  8.91107e-01
1.0691231e+00  8.60152e-01
1.0691385e+00  8.47006e-01
1.0691539e+00  8.65951e-01
1.0691693e+00  8.66152e-01
1.0691845e+00  8.68922e-01
1.0691999e+00  8.59590e-01
1.0692153e+00  8.49447e-01
1.0692307e+00  8.64771e-01
1.0692459e+00  8.60253e-01
1.0692613e+00  8.84235e-01
1.0692767e+00  8.63735e-01
1.0692921e+00  8.57889e-01
1.0693073e+00  8.96540e-01
1.0693227e+00  8.65235e-01
1.0693381e+00  8.55064e-01
1.0693534e+00  8.63484e-01
1.0693688e+00  8.59887e-01
1.0693841e+00  8.70065e-01
1.0693995e+00  8.94157e-01
1.0694148e+00  8.99733e-01
1.0694302e+00  8.65360e-01
1.0694455e+00  8.43946e-01
1.0694609e+00  8.32343e-01
1.0694762e+00  8.19337e-01
1.0694916e+00  8.57558e-01
1.0695069e+00  8.79730e-01
1.0695222e+00  8.76196e-01
1.0695376e+00  8.78282e-01
1.0695530e+00  8.62902e-01
1.0695683e+00  8.43085e-01
1.0695836e+00  8.19816e-01
1.0695990e+00  8.54169e-01
1.0696144e+00  7.87015e-01
1.0696298e+00  8.45683e-01
1.0696450e+00  9.07612e-01
1.0696604e+00  9.15367e-01
1.0696758e+00  9.36406e-01
1.0696912e+00  9.01388e-01
1.0697064e+00  9.32255e-01
1.0697218e+00  9.68589e-01
1.0697372e+00  9.78081e-01
1.0697526e+00  9.76123e-01
1.0697678e+00  9.75410e-01
1.0697832e+00  1.00509e+00
1.0697986e+00  9.73082e-01
1.0698139e+00  9.69383e-01
1.0698293e+00  9.68474e-01
1.0698446e+00  9.50052e-01
1.0698600e+00  9.83244e-01
1.0698753e+00  9.36876e-01
1.0698907e+00  9.68659e-01
1.0699060e+00  9.74501e-01
1.0699214e+00  9.64978e-01
1.0699367e+00  9.51446e-01
1.0699521e+00  9.51990e-01
1.0699674e+00  9.55636e-01
1.0699828e+00  9.78720e-01
1.0699981e+00  9.67602e-01
1.0700135e+00  9.90190e-01
1.0700288e+00  9.93994e-01
1.0700441e+00  9.65037e-01
1.0700595e+00  9.95551e-01
1.0700749e+00  9.84748e-01
1.0700903e+00  9.86724e-01
1.0701055e+00  9.91044e-01
1.0701209e+00  1.00420e+00
1.0701363e+00  1.00691e+00
1.0701517e+00  9.90804e-01
1.0701669e+00  1.00122e+00
1.0701823e+00  9.99355e-01
1.0701977e+00  1.00280e+00
1.0702131e+00  9.87100e-01
1.0702283e+00  9.71820e-01
1.0702437e+00  9.92571e-01
1.0702591e+00  1.00472e+00
1.0702745e+00  1.02766e+00
1.0702897e+00  1.01133e+00
1.0703051e+00  1.00511e+00
1.0703205e+00  1.00352e+00
1.0703358e+00  1.01018e+00
1.0703512e+00  1.00877e+00
1.0703665e+00  1.00512e+00
1.0703819e+00  1.00631e+00
1.0703972e+00  9.93844e-01
1.0704126e+00  1.01929e+00
1.0704279e+00  1.02411e+00
1.0704433e+00  1.00375e+00
1.0704586e+00  1.01902e+00
1.0704740e+00  1.00853e+00
1.0704893e+00  1.03921e+00
1.0705046e+00  1.00645e+00
1.0705200e+00  9.95409e-01
1.0705354e+00  1.00173e+00
1.0705507e+00  1.02641e+00
1.0705660e+00  1.00935e+00
1.0705814e+00  9.77088e-01
1.0705968e+00  9.83270e-01
1.0706122e+00  1.00581e+00
1.0706274e+00  9.86218e-01
1.0706429e+00  9.85052e-01
1.0706583e+00  9.85065e-01
1.0706737e+00  9.61779e-01
1.0706889e+00  9.87051e-01
1.0707043e+00  9.76106e-01
1.0707197e+00  9.26038e-01
1.0707351e+00  9.45801e-01
1.0707503e+00  9.48130e-01
1.0707657e+00  9.34541e-01
1.0707811e+00  9.56988e-01
1.0707965e+00  9.58045e-01
1.0708117e+00  9.63198e-01
1.0708271e+00  9.15228e-01
1.0708425e+00  9.49089e-01
1.0708578e+00  9.38319e-01
1.0708732e+00  9.35555e-01
1.0708885e+00  9.65254e-01
1.0709039e+00  9.96449e-01
1.0709192e+00  9.41794e-01
1.0709346e+00  9.47298e-01
1.0709499e+00  9.60482e-01
1.0709653e+00  9.76293e-01
1.0709806e+00  9.69985e-01
1.0709960e+00  1.06841e+00
1.0710113e+00  1.00949e+00
1.0710266e+00  9.72001e-01
1.0710420e+00  9.77925e-01
1.0710574e+00  9.65150e-01
1.0710727e+00  9.69536e-01
1.0710880e+00  9.49364e-01
1.0711034e+00  9.51137e-01
1.0711188e+00  9.65038e-01
1.0711342e+00  9.69239e-01
1.0711494e+00  9.29458e-01
1.0711648e+00  9.36389e-01
1.0711802e+00  9.58353e-01
1.0711956e+00  9.38027e-01
1.0712108e+00  9.54053e-01
1.0712262e+00  9.54656e-01
1.0712416e+00  9.23288e-01
1.0712570e+00  9.71564e-01
1.0712722e+00  9.75581e-01
1.0712876e+00  9.47866e-01
1.0713030e+00  9.76172e-01
1.0713184e+00  9.66863e-01
1.0713336e+00  9.65048e-01
1.0713490e+00  9.95311e-01
1.0713644e+00  1.00971e+00
1.0713797e+00  1.00593e+00
1.0713951e+00  9.65439e-01
1.0714104e+00  1.03144e+00
1.0714258e+00  1.01277e+00
1.0714411e+00  1.00425e+00
1.0714565e+00  9.95783e-01
1.0714718e+00  1.00664e+00
1.0714872e+00  1.01212e+00
1.0715025e+00  1.04459e+00
1.0715179e+00  1.02834e+00
1.0715332e+00  1.01891e+00
1.0715485e+00  1.02722e+00
1.0715639e+00  1.03713e+00
1.0715793e+00  1.01713e+00
1.0715946e+00  1.02913e+00
1.0716099e+00  1.00874e+00
1.0716253e+00  1.03731e+00
1.0716407e+00  1.03251e+00
1.0716561e+00  1.01075e+00
1.0716713e+00  9.99439e-01
1.0716867e+00  1.00347e+00
1.0717021e+00  9.65924e-01
1.0717175e+00  9.83556e-01
1.0717327e+00  1.01642e+00
1.0717481e+00  1.01879e+00
1.0717635e+00  1.02307e+00
1.0717789e+00  1.01387e+00
1.0717941e+00  1.01480e+00
1.0718095e+00  1.01111e+00
1.0718249e+00  1.03109e+00
1.0718402e+00  1.02773e+00
1.0718555e+00  1.00936e+00
1.0718709e+00  9.94714e-01
1.0718863e+00  1.00266e+00
1.0719016e+00  1.00533e+00
1.0719170e+00  1.00521e+00
1.0719323e+00  1.01913e+00
1.0719477e+00  9.90729e-01
1.0719630e+00  1.00337e+00
1.0719784e+00  1.04137e+00
1.0719937e+00  1.03903e+00
1.0720091e+00  1.04364e+00
1.0720244e+00  1.06577e+00
1.0720398e+00  1.00846e+00
1.0720551e+00  1.02329e+00
1.0720704e+00  1.02057e+00
1.0720858e+00  1.04927e+00
1.0721012e+00  1.02469e+00
1.0721166e+00  1.04379e+00
1.0721318e+00  1.02391e+00
1.0721472e+00  1.03171e+00
1.0721626e+00  1.04413e+00
1.0721780e+00  1.04109e+00
1.0721932e+00  1.04160e+00
1.0722086e+00  1.01833e+00
1.0722240e+00  9.94640e-01
1.0722394e+00  1.04207e+00
1.0722546e+00  1.01602e+00
1.0722700e+00  9.75313e-01
1.0722854e+00  9.97299e-01
1.0723008e+00  9.91390e-01
1.0723160e+00  9.97913e-01
1.0723314e+00  1.03729e+00
1.0723468e+00  1.02753e+00
1.0723621e+00  1.01368e+00
1.0723775e+00  9.88768e-01
1.0723928e+00  1.01639e+00
1.0724082e+00  1.00353e+00
1.0724235e+00  1.00078e+00
1.0724389e+00  1.01597e+00
1.0724542e+00  1.01772e+00
1.0724696e+00  1.04355e+00
1.0724849e+00  1.04446e+00
1.0725003e+00  1.01529e+00
1.0725156e+00  1.02682e+00
1.0725309e+00  9.93799e-01
1.0725463e+00  1.02021e+00
1.0725617e+00  1.00099e+00
1.0725770e+00  1.03239e+00
1.0725924e+00  9.92422e-01
1.0726078e+00  1.00998e+00
1.0726232e+00  1.00060e+00
1.0726386e+00  9.87654e-01
1.0726538e+00  9.62259e-01
1.0726692e+00  9.33007e-01
1.0726846e+00  9.61318e-01
1.0727000e+00  9.55539e-01
1.0727152e+00  9.28678e-01
1.0727306e+00  9.47836e-01
1.0727460e+00  9.34857e-01
1.0727614e+00  9.44583e-01
1.0727766e+00  9.45674e-01
1.0727920e+00  9.03172e-01
1.0728074e+00  9.17780e-01
1.0728228e+00  9.51780e-01
1.0728380e+00  9.32367e-01
1.0728534e+00  9.35192e-01
1.0728688e+00  9.18693e-01
1.0728841e+00  9.19788e-01
1.0728995e+00  9.09795e-01
1.0729148e+00  9.05385e-01
1.0729302e+00  8.74957e-01
1.0729455e+00  8.85119e-01
1.0729609e+00  9.17834e-01
1.0729762e+00  9.15064e-01
1.0729916e+00  9.13528e-01
1.0730069e+00  9.06384e-01
1.0730223e+00  9.04593e-01
1.0730376e+00  9.22941e-01
1.0730529e+00  9.38864e-01
1.0730683e+00  9.23080e-01
1.0730837e+00  9.14929e-01
1.0730990e+00  9.11873e-01
1.0731143e+00  9.23678e-01
1.0731297e+00  9.40084e-01
1.0731451e+00  9.65500e-01
1.0731605e+00  9.60874e-01
1.0731757e+00  9.50559e-01
1.0731911e+00  9.64758e-01
1.0732065e+00  9.49213e-01
1.0732219e+00  9.23329e-01
1.0732371e+00  9.54970e-01
1.0732525e+00  9.47973e-01
1.0732679e+00  9.59216e-01
