#Normalization-constant  7.65839e+02
#lambda         flux
1.0394010e+00  1.01270e+00
1.0394159e+00  1.01966e+00
1.0394308e+00  1.00786e+00
1.0394457e+00  9.71497e-01
1.0394607e+00  1.02775e+00
1.0394756e+00  9.89380e-01
1.0394905e+00  1.01228e+00
1.0395054e+00  1.05857e+00
1.0395203e+00  1.01174e+00
1.0395352e+00  9.95835e-01
1.0395502e+00  9.57205e-01
1.0395651e+00  9.81465e-01
1.0395800e+00  1.02178e+00
1.0395949e+00  1.04028e+00
1.0396098e+00  1.01604e+00
1.0396247e+00  1.03487e+00
1.0396397e+00  1.01008e+00
1.0396546e+00  1.02085e+00
1.0396695e+00  1.03397e+00
1.0396844e+00  9.96680e-01
1.0396993e+00  9.38070e-01
1.0397142e+00  9.55679e-01
1.0397292e+00  9.73470e-01
1.0397442e+00  1.00150e+00
1.0397591e+00  9.69586e-01
1.0397740e+00  9.61478e-01
1.0397889e+00  9.62774e-01
1.0398038e+00  1.00636e+00
1.0398187e+00  9.88953e-01
1.0398337e+00  9.50120e-01
1.0398486e+00  9.57510e-01
1.0398635e+00  9.67318e-01
1.0398784e+00  9.91835e-01
1.0398933e+00  9.29352e-01
1.0399082e+00  9.54977e-01
1.0399232e+00  9.53589e-01
1.0399381e+00  9.63079e-01
1.0399530e+00  9.34946e-01
1.0399679e+00  9.92710e-01
1.0399828e+00  9.32820e-01
1.0399977e+00  9.39273e-01
1.0400126e+00  9.36748e-01
1.0400277e+00  9.69866e-01
1.0400426e+00  9.47211e-01
1.0400575e+00  9.41423e-01
1.0400724e+00  9.64364e-01
1.0400873e+00  9.55191e-01
1.0401022e+00  9.84013e-01
1.0401172e+00  9.55409e-01
1.0401321e+00  9.47747e-01
1.0401470e+00  9.95540e-01
1.0401619e+00  9.88613e-01
1.0401768e+00  1.00866e+00
1.0401917e+00  1.00004e+00
1.0402067e+00  9.85779e-01
1.0402216e+00  9.89846e-01
1.0402365e+00  1.00753e+00
1.0402514e+00  1.00782e+00
1.0402663e+00  1.05022e+00
1.0402812e+00  1.06177e+00
1.0402961e+00  1.03276e+00
1.0403111e+00  1.01467e+00
1.0403260e+00  1.01416e+00
1.0403409e+00  9.88021e-01
1.0403558e+00  9.96371e-01
1.0403707e+00  9.85310e-01
1.0403856e+00  9.80193e-01
1.0404007e+00  1.05514e+00
1.0404156e+00  1.05369e+00
1.0404305e+00  1.03954e+00
1.0404454e+00  1.00731e+00
1.0404603e+00  1.01241e+00
1.0404752e+00  9.88124e-01
1.0404902e+00  1.02002e+00
1.0405051e+00  1.06988e+00
1.0405200e+00  1.06126e+00
1.0405349e+00  1.04286e+00
1.0405498e+00  1.04455e+00
1.0405647e+00  1.05007e+00
1.0405796e+00  1.04753e+00
1.0405946e+00  1.01335e+00
1.0406095e+00  1.03619e+00
1.0406244e+00  1.02147e+00
1.0406393e+00  1.01670e+00
1.0406542e+00  1.04716e+00
1.0406691e+00  1.06102e+00
