#Normalization-constant  5.11493e+02
#lambda         flux
1.0993144e+00  1.05142e+00
1.0993301e+00  1.01561e+00
1.0993460e+00  1.10527e+00
1.0993617e+00  1.05937e+00
1.0993774e+00  1.06115e+00
1.0993932e+00  1.07907e+00
1.0994089e+00  1.05959e+00
1.0994248e+00  1.07406e+00
1.0994405e+00  1.03282e+00
1.0994562e+00  9.97812e-01
1.0994720e+00  1.05820e+00
1.0994877e+00  1.02805e+00
1.0995036e+00  1.03062e+00
1.0995193e+00  9.90897e-01
1.0995350e+00  9.68846e-01
1.0995508e+00  9.94534e-01
1.0995665e+00  1.00669e+00
1.0995824e+00  1.03578e+00
1.0995981e+00  1.00327e+00
1.0996138e+00  1.03317e+00
1.0996296e+00  1.05923e+00
1.0996453e+00  1.03876e+00
1.0996612e+00  1.03818e+00
1.0996769e+00  1.02074e+00
1.0996926e+00  1.02815e+00
1.0997084e+00  1.01661e+00
1.0997241e+00  1.01169e+00
1.0997400e+00  1.05690e+00
1.0997557e+00  1.02477e+00
1.0997714e+00  1.02299e+00
1.0997872e+00  1.01700e+00
1.0998029e+00  1.04688e+00
1.0998188e+00  1.01561e+00
1.0998345e+00  9.93961e-01
1.0998502e+00  1.01993e+00
1.0998660e+00  1.00664e+00
1.0998817e+00  1.00761e+00
1.0998976e+00  1.01440e+00
1.0999133e+00  9.97511e-01
1.0999290e+00  9.83548e-01
1.0999448e+00  1.00635e+00
1.0999606e+00  1.00725e+00
1.0999764e+00  9.98773e-01
1.0999921e+00  9.84980e-01
1.1000078e+00  9.94771e-01
1.1000236e+00  9.69447e-01
1.1000394e+00  9.98454e-01
1.1000552e+00  1.03306e+00
1.1000709e+00  1.04717e+00
1.1000866e+00  1.05741e+00
1.1001024e+00  1.00817e+00
1.1001182e+00  9.89531e-01
1.1001339e+00  1.00903e+00
1.1001497e+00  1.01021e+00
1.1001654e+00  9.83998e-01
1.1001812e+00  1.02497e+00
1.1001970e+00  9.99861e-01
1.1002127e+00  1.04743e+00
1.1002285e+00  9.78158e-01
1.1002442e+00  1.03686e+00
1.1002600e+00  1.00684e+00
1.1002758e+00  9.70322e-01
1.1002915e+00  1.02353e+00
1.1003073e+00  1.02101e+00
1.1003230e+00  9.57861e-01
1.1003387e+00  1.00050e+00
1.1003546e+00  1.04729e+00
1.1003703e+00  1.04110e+00
1.1003861e+00  1.02015e+00
1.1004018e+00  1.03658e+00
1.1004175e+00  1.03690e+00
1.1004334e+00  1.02236e+00
1.1004491e+00  9.92776e-01
1.1004649e+00  1.02983e+00
1.1004806e+00  1.04623e+00
1.1004963e+00  1.00002e+00
1.1005122e+00  1.03458e+00
1.1005279e+00  1.01986e+00
1.1005437e+00  1.00762e+00
1.1005594e+00  9.86274e-01
1.1005751e+00  9.90914e-01
1.1005910e+00  1.03907e+00
1.1006067e+00  1.01466e+00
1.1006225e+00  1.01744e+00
1.1006382e+00  1.03915e+00
1.1006541e+00  1.00440e+00
1.1006698e+00  1.01368e+00
1.1006855e+00  1.00305e+00
1.1007013e+00  9.96490e-01
1.1007170e+00  1.02811e+00
1.1007329e+00  1.03551e+00
1.1007486e+00  9.99282e-01
1.1007643e+00  9.85514e-01
1.1007801e+00  9.54002e-01
1.1007958e+00  9.81104e-01
1.1008117e+00  1.02534e+00
1.1008274e+00  1.02911e+00
1.1008431e+00  1.02513e+00
1.1008589e+00  1.01276e+00
1.1008746e+00  1.00999e+00
1.1008904e+00  1.04019e+00
1.1009062e+00  1.01465e+00
1.1009219e+00  1.03871e+00
1.1009378e+00  1.03233e+00
