#Normalization-constant  6.96989e+02
#lambda         flux
1.0537577e+00  9.82781e-01
1.0537727e+00  1.02820e+00
1.0537878e+00  9.99318e-01
1.0538030e+00  9.78011e-01
1.0538181e+00  9.68540e-01
1.0538333e+00  1.00120e+00
1.0538484e+00  9.91329e-01
1.0538635e+00  9.97901e-01
1.0538787e+00  1.02518e+00
1.0538938e+00  1.00688e+00
1.0539090e+00  1.00601e+00
1.0539241e+00  1.00636e+00
1.0539392e+00  1.02627e+00
1.0539543e+00  1.01656e+00
1.0539694e+00  1.02206e+00
1.0539845e+00  1.00062e+00
1.0539997e+00  9.75681e-01
1.0540148e+00  9.61140e-01
1.0540300e+00  1.02249e+00
1.0540451e+00  1.00513e+00
1.0540602e+00  9.96598e-01
1.0540754e+00  9.75987e-01
1.0540905e+00  9.73855e-01
1.0541057e+00  1.00403e+00
1.0541208e+00  9.87104e-01
1.0541359e+00  9.91082e-01
1.0541510e+00  1.01783e+00
1.0541661e+00  1.02365e+00
1.0541812e+00  1.02596e+00
1.0541964e+00  9.78622e-01
1.0542115e+00  9.80115e-01
1.0542267e+00  1.00694e+00
1.0542418e+00  1.03477e+00
1.0542569e+00  1.03178e+00
1.0542721e+00  9.85801e-01
1.0542872e+00  1.00006e+00
1.0543024e+00  1.01175e+00
1.0543175e+00  1.01787e+00
1.0543325e+00  9.96312e-01
1.0543477e+00  9.68090e-01
1.0543628e+00  9.69470e-01
1.0543779e+00  1.00125e+00
1.0543931e+00  9.91419e-01
1.0544082e+00  1.01153e+00
1.0544233e+00  1.00792e+00
1.0544385e+00  1.00628e+00
1.0544536e+00  9.85001e-01
1.0544688e+00  9.88372e-01
1.0544839e+00  1.00544e+00
1.0544990e+00  9.98617e-01
1.0545141e+00  1.00116e+00
1.0545292e+00  1.00572e+00
1.0545443e+00  1.02997e+00
1.0545595e+00  1.01184e+00
1.0545746e+00  9.88312e-01
1.0545898e+00  9.83960e-01
1.0546049e+00  9.89106e-01
1.0546200e+00  9.98397e-01
1.0546352e+00  1.00388e+00
1.0546503e+00  9.79641e-01
1.0546655e+00  9.86172e-01
1.0546806e+00  9.87746e-01
1.0546957e+00  9.99398e-01
1.0547108e+00  9.70418e-01
1.0547259e+00  1.01490e+00
1.0547410e+00  1.00175e+00
1.0547562e+00  9.91582e-01
1.0547713e+00  9.82753e-01
1.0547865e+00  9.77782e-01
1.0548016e+00  9.72653e-01
1.0548167e+00  9.92366e-01
1.0548319e+00  1.00638e+00
1.0548470e+00  9.80003e-01
1.0548622e+00  9.48719e-01
1.0548773e+00  9.86021e-01
1.0548923e+00  1.01014e+00
1.0549075e+00  1.00875e+00
1.0549226e+00  9.98289e-01
1.0549377e+00  9.73608e-01
1.0549529e+00  9.96999e-01
1.0549680e+00  9.81437e-01
1.0549832e+00  9.97689e-01
1.0549984e+00  9.60952e-01
1.0550135e+00  9.69674e-01
1.0550287e+00  9.77254e-01
1.0550438e+00  1.00312e+00
1.0550590e+00  9.86751e-01
1.0550741e+00  9.96012e-01
1.0550891e+00  9.80635e-01
1.0551043e+00  9.82719e-01
1.0551194e+00  1.00970e+00
1.0551345e+00  1.03624e+00
1.0551497e+00  9.99780e-01
1.0551648e+00  9.94330e-01
1.0551800e+00  9.88486e-01
1.0551951e+00  1.02885e+00
1.0552102e+00  1.03085e+00
1.0552254e+00  1.01140e+00
1.0552405e+00  9.93234e-01
1.0552556e+00  1.01038e+00
1.0552707e+00  1.02435e+00
1.0552858e+00  1.01190e+00
1.0553009e+00  1.00064e+00
1.0553161e+00  1.01760e+00
1.0553312e+00  9.87999e-01
1.0553464e+00  9.99557e-01
1.0553615e+00  1.00567e+00
1.0553766e+00  9.82469e-01
1.0553918e+00  9.83613e-01
1.0554069e+00  9.92611e-01
1.0554221e+00  9.85375e-01
1.0554372e+00  1.01304e+00
1.0554523e+00  9.92990e-01
1.0554674e+00  9.75081e-01
1.0554825e+00  9.74326e-01
1.0554976e+00  9.91352e-01
1.0555128e+00  9.97823e-01
1.0555279e+00  9.76635e-01
1.0555431e+00  9.78170e-01
1.0555582e+00  9.91789e-01
1.0555733e+00  9.83213e-01
1.0555885e+00  9.73755e-01
1.0556036e+00  9.87535e-01
1.0556188e+00  1.00480e+00
1.0556339e+00  1.02603e+00
1.0556489e+00  1.00293e+00
1.0556641e+00  9.93851e-01
