Wavelength,Flux,FluxSmooth7,FluxSmooth15
3699.985312,269.468353,199.965454,106.195030
3700.837363,238.161316,199.965454,111.872681
3701.689610,249.837463,199.965454,146.238739
3702.542054,199.965454,199.965454,146.238739
3703.394694,197.432770,197.432770,147.930923
3704.247530,146.238739,147.930923,147.930923
3705.100563,111.872681,147.930923,169.843414
3705.953792,106.195030,146.238739,183.338074
3706.807218,147.930923,146.238739,183.338074
3707.660840,183.338074,132.810944,183.338074
3708.514659,124.093597,147.930923,183.338074
3709.368674,191.728439,169.843414,183.338074
3710.222886,132.810944,183.338074,183.338074
3711.077295,169.843414,191.728439,183.885223
3711.931900,214.592422,214.592422,183.885223
3712.786703,216.769333,214.592422,183.885223
3713.641702,254.291809,214.592422,183.885223
3714.496898,279.426361,214.592422,183.885223
3715.352291,201.363556,212.987991,183.885223
3716.207881,212.987991,201.363556,169.843414
3717.063668,183.885223,183.885223,169.843414
3717.919652,141.920471,141.920471,141.920471
3718.775833,138.185699,138.185699,141.920471
3719.632212,66.129898,123.260307,141.920471
3720.488787,84.510559,105.965218,141.920471
3721.345560,73.986076,105.965218,141.007248
3722.202530,123.260307,105.965218,141.007248
3723.059698,105.965218,123.260307,140.608078
3723.917063,141.007248,141.007248,140.608078
3724.774625,187.930893,141.007248,140.608078
3725.632385,225.768463,143.910843,140.608078
3726.490342,168.986664,143.910843,140.608078
3727.348497,126.148857,168.986664,140.608078
3728.206849,143.910843,143.910843,140.608078
3729.065400,140.608078,143.192856,140.608078
3729.924148,175.543701,140.608078,140.608078
3730.783093,143.192856,140.608078,136.999054
3731.642237,136.999054,136.999054,126.148857
3732.501578,119.874672,119.874672,119.874672
3733.361117,91.359619,91.359619,119.874672
3734.220854,75.341942,81.788956,119.874672
3735.080789,78.978775,78.978775,119.874672
3735.940923,18.950151,78.978775,119.874672
3736.801254,81.788956,78.978775,119.874672
3737.661783,56.850674,81.788956,119.874672
3738.522511,101.625755,101.625755,106.319839
3739.383436,156.453766,156.453766,101.625755
3740.244560,157.310562,156.453766,101.625755
3741.105883,179.763519,156.453766,101.625755
3741.967403,165.430450,156.453766,101.625755
3742.829122,133.556656,133.556656,101.625755
3743.691040,128.906784,128.906784,101.625755
3744.553156,106.319839,106.319839,106.319839
3745.415470,97.676910,97.676910,117.226784
3746.277983,87.656342,87.656342,117.226784
3747.140695,72.637001,87.656342,117.226784
3748.003606,72.003105,87.656342,117.226784
3748.866715,72.277206,87.656342,117.226784
3749.730022,92.805359,92.805359,117.226784
3750.593529,117.226784,117.226784,117.226784
3751.457235,158.030350,146.111984,117.226784
3752.321139,146.111984,158.030350,117.226784
3753.185242,166.706009,164.197617,117.226784
3754.049545,182.132507,166.706009,124.134621
3754.914046,164.197617,166.706009,146.111984
3755.778747,180.705688,166.706009,150.650223
3756.643646,203.678406,164.197617,150.650223
3757.508745,111.649345,124.134621,150.650223
3758.374043,104.858070,124.134621,149.321838
3759.239540,86.035912,124.134621,150.650223
3760.105237,124.134621,124.134621,149.321838
3760.971133,165.462830,137.472778,142.872726
3761.837228,150.650223,142.872726,142.872726
3762.703523,142.872726,149.321838,142.872726
3763.570017,137.472778,149.321838,142.872726
3764.436711,149.321838,142.872726,148.833176
3765.303604,158.136292,142.872726,149.321838
3766.170697,115.931679,148.833176,150.650223
3767.037990,142.078293,149.321838,158.136292
3767.905482,148.833176,158.136292,158.136292
3768.773174,200.733368,181.854538,181.854538
3769.641066,222.837631,195.834763,195.834763
3770.509158,195.834763,200.733368,200.733368
3771.377450,181.854538,222.837631,216.601868
3772.245942,248.169189,229.060471,222.837631
3773.114634,234.870544,234.870544,228.498383
3773.983525,229.060471,234.870544,229.060471
3774.852617,251.072418,234.870544,230.199249
3775.721909,236.560593,230.199249,234.870544
3776.591401,230.199249,230.199249,236.560593
3777.461094,216.601868,236.560593,247.589996
3778.330987,228.498383,236.560593,248.169189
3779.201080,258.115967,250.460678,250.460678
3780.071373,260.764404,250.460678,250.460678
3780.941867,262.127228,250.898941,250.460678
3781.812561,250.460678,257.986053,247.589996
3782.683456,247.589996,251.577667,247.589996
3783.554551,250.898941,250.898941,247.589996
3784.425847,257.986053,250.460678,247.589996
3785.297344,251.577667,247.589996,247.589996
3786.169041,190.989395,190.989395,225.554688
3787.040939,148.687714,157.107361,190.989395
3787.913038,157.107361,153.824875,187.904968
3788.785337,153.824875,153.824875,176.261887
3789.657838,145.541016,153.824875,157.107361
3790.530539,146.976151,157.107361,153.824875
3791.403442,187.904968,153.824875,151.732452
3792.276545,225.554688,151.732452,150.140900
3793.149850,176.261887,151.732452,148.687714
3794.023355,151.732452,151.732452,150.140900
3794.897062,145.994614,150.140900,150.140900
3795.770970,150.140900,145.994614,150.140900
3796.645079,143.628815,145.994614,151.732452
3797.519390,140.899353,145.994614,176.261887
3798.393902,129.279037,147.349701,176.261887
3799.268615,147.349701,147.349701,176.261887
3800.143529,182.464539,182.464539,182.464539
3801.018646,221.535553,221.535553,188.623581
3801.893963,228.470642,228.470642,202.852875
3802.769482,246.449432,231.767899,210.859375
3803.645203,253.640640,231.767899,218.122086
3804.521126,246.590836,231.767899,221.535553
3805.397250,231.767899,231.767899,221.535553
3806.273576,202.852875,225.849792,221.535553
3807.150104,188.623581,218.122086,221.535553
3808.026833,225.849792,218.122086,218.122086
3808.903765,210.859375,216.887207,216.887207
3809.780898,218.122086,216.887207,210.859375
3810.658234,234.132965,216.887207,202.852875
3811.535771,216.887207,210.859375,188.623581
3812.413511,168.120789,168.120789,168.120789
3813.291453,150.351242,150.351242,150.351242
3814.169597,134.750061,134.750061,134.750061
3815.047943,125.837799,131.637711,131.637711
3815.926491,126.602913,128.020660,128.020660
3816.805242,125.154701,126.602913,126.602913
3817.684195,131.637711,125.837799,125.837799
3818.563350,128.020660,125.154701,125.154701
3819.442708,91.265457,104.199669,108.812210
3820.322269,74.779671,104.199669,104.199669
3821.202032,82.449074,103.107895,104.199669
3822.081997,104.199669,102.586914,103.107895
3822.962166,108.812210,102.586914,103.107895
3823.842537,103.107895,102.586914,103.107895
3824.723110,102.586914,103.107895,103.107895
3825.603887,72.660797,102.586914,102.586914
3826.484866,80.263863,102.586914,103.107895
3827.366048,106.480614,102.586914,103.107895
3828.247433,100.657417,103.798698,103.107895
3829.129021,106.843513,103.798698,103.107895
3830.010812,138.048126,106.480614,103.107895
3830.892806,103.798698,103.798698,103.798698
3831.775004,92.538887,103.798698,106.480614
3832.657404,112.322205,103.798698,106.480614
3833.540008,57.028618,103.798698,106.480614
3834.422814,96.578178,112.322205,103.798698
3835.305825,117.360077,117.360077,106.843513
3836.189038,143.062668,117.360077,112.322205
3837.072455,129.561829,117.360077,112.322205
3837.956075,128.175049,117.360077,117.360077
3838.839899,81.641098,122.701530,119.107933
3839.723926,93.906227,119.107933,122.701530
3840.608157,87.207428,119.107933,128.061768
3841.492592,122.701530,119.107933,128.175049
