Wavelength,Flux,FluxSmooth7,FluxSmooth15
3699.985312,497.332977,416.775665,335.681671
3700.837363,510.015808,445.722656,335.681671
3701.689610,470.385803,454.185944,336.196411
3702.542054,416.775665,454.185944,336.196411
3703.394694,445.722656,445.722656,338.586060
3704.247530,454.185944,416.775665,338.586060
3705.100563,335.681671,338.586060,374.276855
3705.953792,338.586060,336.196411,387.880341
3706.807218,279.468781,336.196411,387.880341
3707.660840,336.196411,335.681671,387.880341
3708.514659,335.135590,336.196411,387.880341
3709.368674,374.276855,336.196411,387.880341
3710.222886,230.666412,374.276855,387.880341
3711.077295,480.125427,387.880341,387.880341
3711.931900,387.880341,480.125427,478.393219
3712.786703,590.756104,517.163940,478.393219
3713.641702,517.163940,517.163940,478.393219
3714.496898,567.949768,524.048889,478.393219
3715.352291,524.048889,524.048889,478.393219
3716.207881,478.393219,517.163940,478.393219
3717.063668,525.951843,514.803345,478.393219
3717.919652,514.803345,478.393219,389.693237
3718.775833,389.693237,389.693237,394.640503
3719.632212,207.398636,280.844330,394.640503
3720.488787,250.852341,280.844330,394.640503
3721.345560,280.844330,280.844330,389.693237
3722.202530,259.350494,280.844330,389.693237
3723.059698,319.360870,304.102142,383.974243
3723.917063,304.102142,319.360870,365.473663
3724.774625,394.640503,383.974243,365.473663
3725.632385,501.702515,394.640503,359.712372
3726.490342,444.103149,394.640503,365.473663
3727.348497,383.974243,394.640503,365.473663
3728.206849,398.534973,383.974243,365.473663
3729.065400,359.712372,373.159271,365.473663
3729.924148,365.473663,373.159271,365.473663
3730.783093,373.159271,365.473663,365.473663
3731.642237,328.023956,359.712372,359.712372
3732.501578,427.610657,328.023956,328.023956
3733.361117,312.317902,312.317902,312.317902
3734.220854,144.110916,219.877899,312.317902
3735.080789,219.877899,219.877899,312.317902
3735.940923,104.633408,219.877899,312.317902
3736.801254,216.030945,219.813614,312.317902
3737.661783,226.106171,219.877899,312.317902
3738.522511,290.884308,226.106171,312.317902
3739.383436,219.813614,290.884308,290.884308
3740.244560,357.516357,343.854126,290.884308
3741.105883,343.854126,357.516357,290.884308
3741.967403,373.879456,357.516357,314.763580
3742.829122,384.024841,357.516357,314.763580
3743.691040,401.880127,373.879456,314.763580
3744.553156,345.112762,373.879456,317.777466
3745.415470,247.814438,345.112762,317.777466
3746.277983,375.876862,314.763580,343.854126
3747.140695,238.015610,247.814438,343.854126
3748.003606,314.763580,247.814438,345.112762
3748.866715,155.999847,293.112518,345.112762
3749.730022,198.631149,293.112518,345.112762
3750.593529,317.777466,314.763580,345.112762
3751.457235,293.112518,317.777466,334.082123
3752.321139,429.493378,349.692688,334.082123
3753.185242,349.692688,429.493378,317.796875
3754.049545,494.624298,484.925446,317.796875
3754.914046,484.925446,484.925446,334.082123
3755.778747,545.945190,484.925446,339.890228
3756.643646,570.790466,484.925446,349.692688
3757.508745,334.082123,334.082123,363.156189
3758.374043,261.777710,334.082123,391.221558
3759.239540,317.796875,334.082123,363.156189
3760.105237,214.256821,334.082123,385.547485
3760.971133,339.890228,339.890228,385.547485
3761.837228,471.244232,363.156189,385.547485
3762.703523,391.221558,363.156189,385.547485
3763.570017,363.156189,385.547485,385.547485
3764.436711,463.694611,391.221558,391.221558
3765.303604,329.672668,391.221558,398.667603
3766.170697,385.547485,398.667603,429.149200
3767.037990,429.149200,429.149200,463.694611
3767.905482,398.667603,429.149200,467.533813
3768.773174,467.533813,467.533813,467.533813
3769.641066,470.229492,470.229492,470.229492
3770.509158,472.406586,472.406586,472.406586
3771.377450,531.129395,518.484863,494.361633
3772.245942,582.187012,526.669922,518.484863
3773.114634,518.484863,526.669922,518.484863
3773.983525,526.669922,531.129395,526.669922
3774.852617,568.021851,543.983337,531.129395
3775.721909,494.361633,543.983337,531.129395
3776.591401,543.983337,543.983337,543.983337
3777.461094,588.596497,568.021851,543.983337
3778.330987,659.514343,569.311951,565.239990
3779.201080,497.418854,569.311951,565.239990
3780.071373,581.884888,569.311951,565.239990
3780.941867,569.311951,565.239990,565.239990
3781.812561,506.640930,565.239990,543.983337
3782.683456,565.239990,569.311951,543.983337
3783.554551,523.200073,565.239990,523.200073
3784.425847,724.078003,523.200073,506.640930
3785.297344,627.742615,523.200073,497.418854
3786.169041,474.169586,474.169586,506.640930
3787.040939,451.774078,451.774078,474.169586
3787.913038,401.266846,426.835602,474.048889
